Coins_date,id,Price,Market Cap,Total volume
2020-11-04 00:00:00.000,axie-infinity,0.15,7754755.6201303415,18855236.284391005
2020-11-05 00:00:00.000,axie-infinity,0.15,7754755.6201303415,18855236.284391005
2020-11-06 00:00:00.000,axie-infinity,0.13,7257184.758105823,5718029.633174498
2020-11-07 00:00:00.000,axie-infinity,0.14,7678065.071288265,3529225.764326668
2020-11-08 00:00:00.000,axie-infinity,0.14,7658840.346562262,2744359.084207642
2020-11-09 00:00:00.000,axie-infinity,0.2,10932754.166469552,10985075.755075358
2020-11-10 00:00:00.000,axie-infinity,0.28,15355920.490770139,15998876.144609028
2020-11-11 00:00:00.000,axie-infinity,0.26,14025285.844607566,11326003.583571944
2020-11-12 00:00:00.000,axie-infinity,0.35,19260788.592371378,18039021.566937912
2020-11-13 00:00:00.000,axie-infinity,0.31,16983347.1907499,8461269.359992841
2020-11-14 00:00:00.000,axie-infinity,0.39,22182529.210996475,10951454.496810462
2020-11-15 00:00:00.000,axie-infinity,0.58,31089712.412041157,31222823.61540217
2020-11-16 00:00:00.000,axie-infinity,0.6,33161583.278063927,36925902.27672871
2020-11-17 00:00:00.000,axie-infinity,0.56,30272058.49411917,24557891.8597495
2020-11-18 00:00:00.000,axie-infinity,0.5,27556076.62423168,21243843.49407975
2020-11-19 00:00:00.000,axie-infinity,0.52,28511567.385645706,18582037.965013012
2020-11-20 00:00:00.000,axie-infinity,0.44,24599592.665845975,14219519.82323074
2020-11-21 00:00:00.000,axie-infinity,0.5,27209471.805723608,18186343.9685239
2020-11-22 00:00:00.000,axie-infinity,0.47,25706401.586060565,10902678.107055435
2020-11-23 00:00:00.000,axie-infinity,0.43,24006924.702553984,11113270.04593065
2020-11-24 00:00:00.000,axie-infinity,0.51,28017556.250706974,16583729.115149964
2020-11-25 00:00:00.000,axie-infinity,0.48,25596887.09576351,10719082.208195033
2020-11-26 00:00:00.000,axie-infinity,0.42,22956732.900801234,7283024.914744744
2020-11-27 00:00:00.000,axie-infinity,0.37,20350584.303209808,7721372.166311389
2020-11-28 00:00:00.000,axie-infinity,0.38,20940732.039456677,5782640.84505752
